NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
Astha Gram Seva,6797,0993139259 ,,"jamui, Bihar 811307",86.20583,24.92935
Atghara Jyoti Mohila Udyog,8716,9163356909 ,PK SINHA ,"Atghara East, Gopalpur, Kolkata, North 24 Parganas, West Bengal 700136",88.45724,22.63466
ATMA FOUNDATION,5408,"2325232 , 9400995232 ",Parvathy G ,"Surya Gardens, Paliyam Road , Trichur, Kerala 680001",76.21288,10.52949
ATMA VANI WELFARE SOCIETY,3016,9335317527 ,,"BARRA-6, KANPUR, Uttar Pradesh 208027",80.2938,26.43496
AUM Education Seva Trust,1113,"27689676 , 9444815958 ",S R MUKUNDHAN ,"Bajanaikoil Street 89 Veppampattu, Tiruvallur, Tamil Nadu 602024",80.02773,13.11208
"Aurosikha Welfare Centre for Rural & Social
Development",11751,9338769019 ,,"TARASUNDARIROAD, LINGARAJ NAGAR, OLD TOWN, BHUBANESWAR, Odisha 751002",85.83074,20.238
Avadh Jan Kalyan Samiti,10568,8004793591 ,,"Gangotri Nagar, Reewa Road Dandi Naini, Allahabad, Uttar Pradesh 211008",81.85868,25.39864
Avanti Fellows,8418,9846452228 ,Aishwarya Geete ,"Pashchimi Marg, Vasant Vihar, New Delhi 110057",77.15597,28.56121
AVISHKAR (Association for Village Institutions Social Health Agriculture and Rural Development),8777,"2256730 , 2256730 ",,"Sapthagirinilya, TUDA office, Adarshanagar, Tumkur, Karnataka 572103",77.12192,13.33923
AZAD SHIKSHA KENDRA,7231,9415315484 ,,"Rameshwer Shishu Vihar, Mohalla Rasmandal, Sada, Jaunpur, Uttar Pradesh 222001",82.7257,25.752
BAAL & MAHILA SHIKSHAN PRASARAK MANDAL,6358,9867463688 ,Mrs Aparna S. Jadhav ,"Dr Ambedkar Chowk, Subhash Tekadi, ULHASNAGAR, Thane, Maharashtra 421004",73.16778,19.20826
BABUL FILMS SOCIETY,6571,9618082288 ,Renu ,"Saregama Apartment, International School, Shaikpetnala, GOLCONDA, Rangareddi , Hyderabad, Telangana 500008",78.40897,17.38123
Badlao Foundation,728,"2535103 , 228592 ",Arvind ,"Chittaranjan Station Road, Mihijam, Jamtara, Jharkhand 815354",86.87847,23.858
Bagnan Human Rural Development Society,9227,9831194195 ,,"Beral, Chitnan, Howrah, West Bengal 711303",87.84898,22.54617
Bal Mangal Educational Trust,10752,9874206624 ,,"Anshuman Kumar SIngh, Adarsh Palm Retreat Tower, Devarabisenahalli, Outer Ring Road, Bengaluru, Karnataka 560103",77.6905,12.9281
Bal Umang Drishya Sanstha,7924,9811449457 ,Yawar Qaiyum ,"Green Park Main, New Delhi 110016",77.20402,28.55825
Bala Vikasa Social Service Society,5576,"9849165890 , 2459287 ",,"Siddharthanagar, NIT, Kazipet, Warangal, Telangana 506004",79.51756,17.98326
Balajothi Centre for the Disabled,327,"23541940 , 23541940 ",,"Benson Town, Bengaluru, Karnataka 560046",77.60152,12.99525
Balason Society for Improved Environment,7821,"9434143574 , 2004634 ",,"Phansidewa More, Kadamtala, Siliguri, Darjeeling, West Bengal 734011",88.36901,26.71328
Ballygunj Society for Children in Pain,916,9930303909 ,Arun Jadhav ,"motilal nagar, badi masjid, goregaon west, Mumbai, Maharashtra 400062",72.83783,19.16314
BAMBURDE MEDICAL AND SOCIAL FOUNDATION,10489,"7993382227 , 7620453661 ",Dr Sayali Bamburde ,"SAYALI COSMETIC CENTER, ADORA, VINODENAGAR, LAKSHMI CHOWK ROAD, WAKAD, Pune, Maharashtra 411057",73.761,18.59853
"Banga Society of Backward Classes, SC's, ST's, &
Minorities",9819,"9163544513 , 26311402 ",,"Manushpur Road, Lichubagan, Bandel, Chinsurah, Hooghly, West Bengal 712123",88.38424,22.92477
Bangalore Baptist Hospital Society,10793,22024304 ,Gift Norman ,"Bellary Road, Hebbal, Bengaluru, Karnataka 560024",77.59335,13.04265
BANGALORE BIRTH NETWORK,9825,"9945694616 , 8971732677 ",Suma ,"2nd Cross, Sahyadri Layout, Panduranganagar, Bg Road, Bengaluru, Karnataka 560076",77.60496,12.88504
Bangalore Oniyavara Seva Coota,149,"64506807 , 9448936620 ",Fr Cyriac ,"BOSCO Sumanahalli, Malgala Road, Vishvaneedam, Bengaluru, Karnataka 560091",77.48264,12.98722
"Bangalore Rural Educational And Development
Society",6405,"25463476 , 25463476 ",Panimalar A ,"Don Bosco, North Road, St.Thomas Town, Bengaluru, Karnataka 560084",77.62191,13.00431
BANGIYA AYURVEDA SAMAJ (BAS),11016,"9903590515 , 9474804415 ",Sandip Kanti Das ,"SANDIPANI LANE, Arambagh, Hooghly, West Bengal 712601",87.78328,22.8863
BANWASI VIKAS ASHRAM,6599,9431167518 ,,"New Barganda, Sir J. C. Bose Road, Bagodar, Block Hospital, Giridih, Jharkhand 815301",86.30447,24.19186
Bapa Sitaram Education and Charitable Trust,8329,9376855966 ,Minaxiben A Jambucha ,"Chitrakut, Saurabh Society Raiya Road, Rajkot, Gujarat 360001",70.79496,22.30494
BAPU BAL VIKAS MAHILA KALYAN SOCIETY,8547,9431654442 ,,"Chichari Bujurg, Rajnagar, Madhubani, Bihar 847235",86.17006,26.39808
"BARDOLI WELFARE SOCIETY, KATNI",9641,7697266750 ,,"Soni Market, Katni, Madhya Pradesh 483501",80.42717,23.88015
Barnamala Educational and Cultural Society,2077,"9433417122 , 417122 ",,"PURATANBAZAR KAUSHALLYA, KHARAGPUR PASCHIM, PASCHIM MEDINIPUR, West Bengal 721301",87.31702,22.36124
Basic Integrated Rural Development Society,12318,261443 ,A.Ashraf Ali ,"Ariyapithanpatty,Thattarapatti, Vedasandur, Dindigul, Tamil Nadu 624710",77.97789,10.58353
Basic Research Education and Development Society,699,9342109434 ,B Vidya Sagar ,"Jubilee Hills, Hyderabad, Telangana 500033",78.4222,17.42659
Behala Bhagwat Leela Society,7781,"24000698 , 24000698 ",,"Buroshibtala Main Road, Kolkata, West Bengal 700038",88.33102,22.50145
Behala Srijan,11392,9433309993 ,,"Rashbehari Avenue, Kolkata, South 24 Parganas, West Bengal 700026",88.34831,22.51691
Benevolent Integrated Rural Development Society,4795,"254174 , 254174 ",,"Sonatorepara, Birbhum, Suri, West Bengal 723101",87.52777,23.90365
Berojgar Mahila Sewa Samiti,5713,9039060467 ,M J Singh ,"Din Dayal Puram, Nagar Nigam Office, Khursipar, Bhilai, Durg, Chhattisgarh 490011",81.39876,21.21078
Bestower Charitable Foundation,5743,"65884143 , 65884143 ",,"Vikaspuri, New Delhi 110018",77.07426,28.63948
Bethany Gospel Ministries and Social Service Centre,152,"2273267 , 9746122137 ",,"BGM Social Service Centre, Neyyardam, Thiruvananthapuram, Kerala 695572",77.17934,8.60048
BHAGAVATULA CHARITABLE TRUST,11889,9441821356 ,,"Eco Rejuvenation Centre, Haripuram, Gautam Model School, Mehdipatnam, Hyderabad, Visakhapatnam, Andhra Pradesh 500028",78.44486,17.38984
BHAGWAN MANAV KALYAN SAMITI,6894,"9452050368 , 223922 ",,"Ariyaso Tes-Ghosi, Ariyaso Ghosi, Mau, Uttar Pradesh 275105",83.58097,26.09644
BHARAT LOK SHIKSHA PARISHAD,10303,"9999399063 , 8448386444 ",,"Karnal Road, Industrial Area, Azadpur, North Delhi 110033",77.15582,28.73461
BHARATHA MATHA TRUST,10687,9842484660 ,,"Min Nagar, Seepalakottai Road, Chinnamanur, Theni, Tamil Nadu 625515",77.38662,9.84189
Bharathamatha Family Welfare Foundation,691,"221918 , 223084 ",,"South Rama Mada Street, Thiruthuraipundi, Tiruvarur, Tamil Nadu 614713",79.63938,10.53205
Bharatiya Jain Sanghatana,11884,66050321 ,P Krishna Mohan ,"Muttha Chambers, Senapati Bapat Road, Pune, Maharashtra 411016",73.83222,18.53106
Bharti Sanskar Kendra,6816,9823114363 ,Dr. Dhiren Dave ,"Tolani Maritime Institute, Induri, Maval, Pune, Maharashtra 410507",73.73377,18.73597
"BHAVISHYA INSTITUTE FOR REHABILITATION OF THE
DISABLED",5478,9603990979 ,,"Swamy complex, 3 Lamps Junction, A.G. Road, Vizianagaram, Andhra Pradesh 535002",83.4131,18.11363
BLINK FOUNDATION,11265,7299125465 ,Subisha ,"IDCR BUILDING, Loyola College, Chennai, Tamil Nadu 600034",80.2329,13.06331
"Block Voluntary Organisation for Improvement of
Culture and Eco-Environment",8322,9861235364 ,,"Rautarapur, Kalapada, 42 Mouza, Cuttack, Odisha 754112",85.93219,20.39872
Bolangir Bikash Parishad,8607,9937535174 ,,"Kantabanji, Balangir, Odisha 767039",82.92394,20.44828
Bolpur Ukilpatty Suchetana,8490,8158025174 ,MAHUA ,"Ukilpatty Office, Bolpur, Birbhum, West Bengal 731204",87.7019,23.66
BOSCO REACH OUT,12128,7002822035 ,Romeo Dmonte ,"Bholanath mandir, Ulubari, Guwahati, Kamrup Metropolitan, Assam 781007",91.75619,26.17185
BOSCO SEVA KENDRA,11748,9440053219 ,Rosalind Clementa ,"Don Provincial House, Himayatsagar Road, Hyderabad, Rangareddy, Telangana 500086",78.36101,17.34076
"BRAJESWARI YOGANANDA BEHAVIOURAL VISION
DEVELOPMENT",10792,7003049530 ,,"Ramkrishna Upanibesh, Sulekha, Jadavpur, Kolkata, West Bengal 700092",88.37266,22.49027
BRIGHT VISION FOUNDATION,12410,7405519090 ,,"Jahangirpura, Nathakaka ni Chali, Anand, Gujarat 388370",73.00351,22.50752
BUDS of Christ Charitable Trust,1074,"281722 , 9840770722 ",,"Kootapalli Housing Board, Tiruchengode, Namakkal, Tamil Nadu 637214",77.89206,11.34234
"C M C (CHRIST MISSIONARIES OF CHARITY)
FOUNDATION",12104,9947770088 ,,"CMC House, Karulai Road, Nilambur, Malappuram, Kerala 679330",76.28696,11.28373
Calvary Ministry,8667,"9440266946 , 8142151913 ",V.Blessy Benhar ,"Mayuri Homes, New Krishna Nagar, Kurnool, Andhra Pradesh 518002",78.03624,15.80891
CANCER HELP FOUNDATION,11575,9322596902 ,,"Ashok Colony,Baimabai Gaikwad, vinayak chowk, Sai Ganesh Dham Nr St Thomas High School Vijaynagar, Kalyan, Thane, Maharashtra 421306",73.13833,19.22246
Cancer Patients Aid Association,109,"24927007 , 24903561 ",Manju Gupta ,"Anand Niketan, King George V Memorial, Dr. E Moses Road, Mahalaxmi, Mumbai, Maharashtra 400011",72.82658,18.98376
CANKIDS...KIDSCAN,9638,"04166361 , 9811525745 ",Aditya Kumar Singh ,"Vasant Vihar, New Delhi 110057",77.16011,28.56222
Care Educational Trust,11677,"2357166 , 9889981000 ",Hemant Kumar ,"Indira Nagar, Lucknow, Uttar Pradesh 226016",81.00179,26.89386
Care India Medical Society,4785,9823468051 ,Amita Pradeep ,"Veer Bharat Society, Shabbir Society, Bhawani Peth, Pune, Maharashtra 411002",73.86378,18.51265
CARE TRUST,12112,9042355254 ,,"Anderson campus, Yercaud road, Salem, Tamil Nadu 636008",78.27687,11.74579
CAREWORKS FOUNDATION,10079,7411328400 ,,"Quess House, Ambalipura Sarjapur road, Bellandur Gate, Bengaluru, Karnataka 560037",77.66224,12.92149
CARING SOULS FOUNDATION,7376,9335923939 ,,"SECTOR J, ALIGANJ, LUCKNOW, Uttar Pradesh 226024",80.95005,26.89948
CASPER'S HOME TRUST,11448,9897716054 ,,"Guru Chhaya, Khandari Road, Agra, Uttar Pradesh 282002",77.99112,27.20745
Cause For Change,7326,9771472730 ,,"new layout baradwari, jamshedpur, APEX hospital, East Singhbhum, Jharkhand 831001",86.20413,22.79825
CBM- INDIA TRUST,9626,9740251333 ,,"2nd,5th Main, Puttannachetty Road, Chamarajpet, Bengaluru, Karnataka 560018",77.56657,12.95707
CCF FOUNDATION,10882,"420775 , 9943475991 ",Ramesh M ,"Railway Feeder Road, Apsara Theatre Backside, Virudhunagar, Tamil Nadu 626001",77.95739,9.59237
Center for Education Environment and Community (CEECo),9222,9341390529 ,Dr HARISH KUMARA BK ,"Konanur, Banugondi, Arkalgud, Hassan, Karnataka 573130",76.01055,12.63902
"CENTRE FOR AGRICULTURE AND RURAL
DEVELOPMENT(CARD)",7850,"9421642403 , 9049826832 ",,"Satakar Complex, Ambad Jalna, Maharashtra 431203",75.88298,19.84005
CENTRE FOR AQUATIC LIVELIHOOD- JALJEEVIKA,12167,9834409560 ,,"Snehakunj Society, Vikash Nagar, Jambhulkar Chowk, Wanawadi, Pune, Maharashtra 411011",73.86366,18.52255
Centre for Associated Progress (CAP),4689,9937328017 ,,"Kokalaba, Narasinghpur, Cuttack, Odisha 754032",84.97984,20.49363
"Centre for Coordination Of Voluntary Works and
Research",1410,"223674 , 223392 ",Ambiga ,"Poovathamman Koil street, Krishnapuram, Gingee, Viluppuram, Tamil Nadu 604202",79.43119,12.25346
Centre for Culture and Development (CCD),12593,"2962001 , 2961354 ",,"Xavier Technical Institute, Sevasi, Vadodara, Gujarat 391101",73.10366,22.31998
"Centre for Development Education and
Communications",7252,"28353136 , 28353136 ",,"Royapettah, Chennai, Tamil Nadu 600014",80.26616,13.04684
"Centre for Education and Development Programmes
Trust",7474,"9320378866 , 8291763166 ",Manoj R Panda ,"New English School, Talao Pali, Ram Maruti Road, Thane West, Mumbai Suburban, Maharashtra 400602",72.97048,19.19314
Centre for Equity Studies,11560,"42401544 , 9810616822 ",Utkarsh Hathi ,"Adhchini, Sarvodaya Enclave, South Delhi 110017",77.20118,28.54096
Centre for Rural Development,11684,290362 ,,"Raja Oil Mill Campus, Thirugengode main Road, Namakkal, Tamil Nadu 637001",78.15938,11.2295
CENTRE FOR RURAL DEVELOPMENT AND PLANNING,5222,9658956035 ,,"NUAGAON, UDAMBAR, BALASORE, Baleswar, Odisha 756019",86.88939,21.49601
CENTRE FOR SOCIAL ACTION TRUST,6899,9902436298 ,H.M. Amitha ,"5th Cross, Horamavu, Kalyan Nagar, Bengaluru, Karnataka 560043",77.63506,13.02951
Centre for Social Reconstruction,7928,"265331 , 265155 ",Mrs.Janet ,"Eathamozhi Road, Chennavannan Vilai, Maravankudiyeruppu, Nagercoil, Kanyakumari, Tamil Nadu 629002",77.43792,8.16104
Centre for Social Responsibility and Leadership,7695,"40047993 , 9810492420 ",,"Manavsthali Apartement, Vasundhara Enclave, New Delhi 110092",77.32045,28.5986
"Centre for the Upliftment of the Rural and Urban
Poor",11706,9051337936 ,Rekha Pal ,"Belanagar, Abhoynagar, Howrah, Bengal 711205",88.31847,22.66277
Centre for Youth Development and Activities,1701,"9960693178 , 9179084484 ",Godfrey Colaco ,"Hotel Maratha Samrat, Dr. Ambedkar Road, National Institute of Virology, Pune, Maharashtra 411001",73.88202,18.52131
CFBT Education Services,6954,"23710931 , 23710931 ",,"Sanjeeva Reddy Nagar, Hyderabad, Telangana 500038",78.4451,17.43809
Chaitanya Rural Development Social Service Society,1120,9866500534 ,M. Yesudass ,"RCM Buildings, Deva Nagar, Kurnool, Andhra Pradesh 518002",78.03792,15.81732
Chandana Art Foundation International,6664,9449994930 ,,"10th Main, 2nd Block, Bengaluru, Karnataka 560050",77.55766,12.94011
CHANDRA DEV CHARITABLE SOCIETY,9373,9422460330 ,Vishwajit Agase ,"Chandra Dev Banglow, Saleshswar Society, Bijapur Road, Solapur, Maharashtra 413004",75.89172,17.63904
Chandra Sundra Trust,7901,"9323046107 , 25530651 ",,"Om Ganesh Nagar, RC Marg, Vasi Naka, Chembur, Mumbai, Maharashtra 400074",72.89674,19.03157
Chandrashekhar Badrinarayan Jadhav Foundation,11224,9423967281 ,,"Renuka Complex, Chandwad, Sector 12, Kharghar, Nashik, Maharashtra 423101",74.18602,20.30057
Charkha,8814,7042293792 ,Mario Noronha ,"Vasant Vihar Apartments, Niryat Bhawan, South Delhi 110057",77.16011,28.56222
"CHENDUR VELAN EDUCATIONAL AND CHARITABLE
TRUST",11125,9789630429 ,,"Nemeli Canal Road, Buvanakrishnan Matriculation School, Thiruporur, Kancheepuram, Tamil Nadu 603110",80.19121,12.72728
Cheshire Disability Trust,10434,9880219515 ,Ms Anuradha Patil ,"Manipal Hospital, Bharath Petrol Bunk, HAL Old Airport Road, Kodihalli, Bengaluru, Karnataka 560017",77.64797,12.95985
CHETANA EMPOWERMENT FOUNDATION,8799,"2471141 , 2471141 ",,"Mukund Housing Society, Mahajan Colony, Cidco, Aurangabad, Maharashtra 431003",75.36391,19.88071
CHF INDIA FOUNDATION,9717,65800102 ,,"CHF Foundation, Parkland Society, Bajaj Finserv Viman Nagar, Pune, Maharashtra 411014",73.91391,18.56522
"CHHATTISGARH AGRICON SAMITI, RAIPUR",10097,9630083206 ,Deepak Biswas ,"Progressive Point, lalpur, Raipur, Chhattisgarh 492001",81.66317,21.21247
CHIKITSA,6470,"2381696 , 9650730860 ",Udai Malhotra ,"Sushant Lok, Phase 1, Block C, Gurugram, Haryana 122002",77.07702,28.46815
CHIKKA FEDERATION OF INDIA (C.F.I.),12577,9570716800 ,,"Shankar Lodge, Gannipur, Muzaffarpur, Bihar 842001",85.38184,26.10995
Child Aid Foundation,336,"2470380 , 8801110786 ","Azeez Shaik, M.B.A. ","Patamatalanka, SVS Kalyana Mandapam, Vijayawada, Krishna, Andhra Pradesh 520010",80.64696,16.494
Child Help Foundation,1535,"7077705050 , 9702929267 ",Rajendra Pathak ,"Sai Arpan, Shanti Vihar, Mira Road, Thane, Maharashtra 401107",72.87648,19.30048
CHILD VIKAS FOUNDATION,9725,9845302806 ,Vijay Ramesh Ram ,"sarojini nilaya, 17th cross, jp nagar 6th phase, Bengaluru, Karnataka 560078",77.57646,12.90238
Childlife Preserve Shishur Sevay,5063,"9874477411 , 9830240182 ",Purba Rudra ,"Sahapur Main Road, Kolkata, West Bengal 700038",88.32455,22.50367
CHILDREN OF GOD FOUNDATION,5686,9833777531 ,sudha benjamin ,"Kamalsagar Society, Rcf Colony, Bhandup-E, Mumbai, Maharashtra 400042",72.94385,19.14457
Children's Home Of Hope,876,"23783199 , 9003230122 ",Sanjay David ,"MADURAVOYAL, Chennai, Tamil Nadu 600095",80.16892,13.05974
CHILUME SAMAJA SEVA SAMASTHE (CSSS),5982,9980294914 ,,"5th Main, st.Thomas Town, Kammanahalli, Bengaluru, Karnataka 560084",77.63948,13.01563
CHINAR (Central Himalayan Institute for Nature & Applied Research),9287,9899690916 ,,"Maldan Compound, Bre Side School, Mallital, Snow View, Nainital, Uttarakhand 263001",79.45672,29.39314
Chintan Environmental Research and Action Group,5582,46574172 ,Sohini Gupta ,"Lajpat Nagar 3, New Delhi 110024",77.24438,28.56699
Chirag Rural Development Foundation,5694,9819290088 ,,"Commerce Center, Tardeo, Mumbai, Maharashtra 400034",72.81379,18.97386
CHOICE FOUNDATION,10419,9908162303 ,,"Pulla Reddy Sweets Building, Landmark residency, Kothaguda, Hyderabad, Telangana 500081",78.38558,17.44031
CHORAO EDUCATIONAL SOCIETY,4830,"9822589046 , 2239221 ",UDAY MULGAONKAR ,"BOCTAWADA, CHORAO TISWADI, North Goa 403102",73.88398,15.54178
Choti Si Khushi,6897,"9810973857 , 9711282050 ",Namita Choudhary ,"Sector 3, Dwarka, South West Delhi 110075",77.06196,28.58256
Christel House India,341,"7624999152 , 7624999153 ",Pramod R ,"Bellahalli Road, Hennur Road, Yelahanka Main Road, Kannur, Baglur, Bangalore East, Karnataka 562149",77.64566,13.09757
Christian Organization for Social Service,6420,"9754417704 , 9826447562 ",Mrs. Madhavi sidney ,"shivir garden, Tilhari Bilheri, mandla road, Jabalpur, Madhya Pradesh 482020",79.96224,23.13434
Christian Social Development Organisation,9813,9862048386 ,,"Hnahringkhu, Chandel, Chandel, Manipur 795127",93.97722,24.28236
CHRONIC PAIN INDIA,11635,"8287026805 , 8287026805 ",,"Sector 16, Faridabad, Haryana 121002",77.3223,28.4091
CINEMATIC FOUNDATION OF INDIA (CFI),7432,"9748054634 , 9007805299 ",Sutapa Bose ,"Crooked Lane, Great Eastern Hotel, Kolkata, West Bengal 700069",88.34988,22.56797
"Committee of Resource Organizations for Mass Programme of Functional Literacy (CORO for
Literacy)",4375,25295002 ,Shivani Mehta ,"Suman Nagar, Chembur, Mumbai, Maharashtra 400071",72.88499,19.05328
Common Concern Initiative-We Care Trust,731,2539900 ,Subramani ,"Thomas Street, Narimedu, Madurai, Tamil Nadu 625002",78.12595,9.93686
Communication for Development and Learning,4854,"25524192 , 9844370462 ",Hema Prasanna ,"7th Cross, 17th Main, Koramangala 6th Block, Bengaluru, Karnataka 560095",77.62365,12.93524
Community Aid and Sponsorship Programme,343,"25862844 , 25862836 ",Sushama Joshi ,"CASP Bhavan, Pashan Baner Link Road, Pune, Maharashtra 411021",73.79118,18.54864
Community Outreach Programme,4720,"23086789 , 23086789 ",Caroline Alex ,"Metho Centre, 21 YMCA Road, Mumbai Central, Maharashtra 400008",72.82329,18.97189
Concern for Human Welfare,9172,9831752277 ,,"PEERLESS NAGAR, PANIHATI, KOLKATA, North 24 Parganas, West Bengal 700114",88.37507,22.69256
Concerns Universe Foundation,1050,"28444905 , 28444905 ",,"Patel Hanumantah Rayappa Layout, Byrathi Cross, Doddagubbi, Bengaluru, Karnataka 562149",77.67891,13.10959
Confederation of Voluntary Associations (COVA),9909,"9394544244 , 9989222959 ",Gowtham Uyalla ,"Bandlaguda, Chandrayangutta, Hyderabad, Telangana 500005",78.47154,17.32381
Conservation Action Trust,268,"22006114 , 9820086404 ",,"Court Chambers, 35 New Marine lines, Mumbai, Maharashtra 400020",72.82869,18.93829
CONSUMER RIGHTS AWARENESS TRUST,12214,9443342791 ,,"Treasurycolony, Oddanchatram, Dindugakal Road, Dindigul, Tamil Nadu 624619",77.74209,10.48715
Cooch Behar Anasristi,10558,9851146474 ,,"Amar Tala, Gopal Saha Sarani, Charak Mandir, Cooch Behar, West Bengal 736101",89.46435,26.3168
Cornerstone India Foundation,11555,"9999027380 , 9811704737 ",Raj Vedantam ,"Jasola, New Delhi, South West Delhi 110025",77.29644,28.54634
Creating Futures,12438,9902699667 ,Jimmy Cherian ,"Stag Aditya Apartments, 1st Main, Ashwini Layout, Koramangala, 6Th Block Extension, Bengaluru, Karnataka 560047",77.62009,12.94844
CREATIVITI COUNCIL,9961,9496373946 ,Arun S Chandran ,"Creativiti council, Kariattukara, Elthuruth, Thrissur, Kerala 680611",76.18369,10.5081
D. T. I EDUCATIONAL & CHARITABLE TRUST,12030,9940149005 ,,"Sasthri Nagar, Jothi Nagar, Arakkonam, Vellore, Tamil Nadu 631003",79.64605,13.10105
DAKSHANA INDIA EDUCATIONAL TRUST FUND,10379,7700918833 ,,"The Dakshana Foundation Valley, Kadus, Pune, Maharashtra 412404",73.75982,18.92321
DAKSHIN ARUN NAGAR CHATANA SANGHA,7560,9153449992 ,TAPAS KUMAR NASKAR ,"Arunnagar, Chatra Maldari, Joynagar, Kolkata, South 24 Parganas, West Bengal 743337",88.4279,22.18865
DARICHA FOUNDATION,7430,9830106093 ,,"Jodhpur Park, Kolkata, West Bengal 700068",88.3633,22.50533
DATRI Blood Stem Cell Donors Registry,4789,"9035270021 , 9840218667 ",Srujana ,"Ticel Bio Park Phase 2, CSIR-Taramani Road, Chennai, Tamil Nadu 600113",80.24432,12.9882
Debnarayan Shiksha Sansthan,11345,9903115557 ,,"Natagachi, Beniabow, Sonarpur, Natagachi, South 24 Parganas, West Bengal 743613",88.47167,22.39786
DEEPA ACADEMY FOR THE DIFFERENTLY ABLED,12796,9740934333 ,Raj ,"2nd Phase Anjananagar, Vishwaneedam , Bengaluru, Karnataka 560091",77.48766,12.98189
Deepam Educational Society for Health,347,"24511187 , 24511112 ",N Navinkumar ,"Kuppam Road, Kaveri Nagar, Kottivakkam, Chennai, Tamil Nadu 600041",80.26313,12.96981
Deesha Education Foundation,7027,"9423424450 , 8275539754 ",,"Deesha Villa, Shri Gajanan Township, Kathora Road, Amravati, Maharashtra 444602",77.75447,20.99823
DEFY EDUCATIONAL ORGANISATION,12314,8095072936 ,Megha Bhagat ,"Magrath Road, Shanthala Nagar, Bangalore, Karnataka 560025",77.61087,12.97015
Dev Sarvodaya Samiti,9832,"9770123311 , 9425129179 ",Sandeep Bajpaye ,"Vallabhav Nagar Ward, Sahu Chowk, Sagar, Madhya Pradesh 470002",78.72937,23.82911
DEVELOPMENT INNOVATION FOUNDATION,8055,,Rashmi ,"Gopal Nagar Shyam Enclave, Najafgarh, New Delhi, West Delhi 110043",77.01069,28.63106
Development Support Centre,1205,"235993 , 235994 ",Mohan Sharma ,"Marutinandan, Bopal, Ahmedabad, Gujarat 380058",72.47757,23.03096
Developmental Association for Human Advancement,1650,"9415054079 , 295699 ",Amit Kumar Tripathi ,"Sewakunj, Maseehabad Road, Huzurpur Marg, Bahraich, Uttar Pradesh 271801",81.60026,27.57047
DEWANCHAL WELFARE SOCIETY,7286,9425384299 ,,"Shahpur, Rewa, Madhya Pradesh 486331",81.97176,24.76716
DHARA SANSTHAN,9095,"9414271028 , 9636153333 ",,"Dharasansthan, Shrikrishnanagar, Rai colony, Barmer, Rajasthan 344001",71.39064,25.7511
DHARAM GYAN JAN KALYAN TRUST,12120,9819315672 ,Shweta Dubey ,"KABIR NAGAR, DURGAKUND, Varanasi, Uttar Pradesh 221005",82.997,25.28883
DHARITHREE TRUST,10230,"9448353888 , 23567518 ",T.S. Satyanarayana ,"1st Main, G.D. Park Extension, Vyallikaval, Malleshwaram, Bengaluru, Karnataka 560003",77.57017,13.00391
Dharmapur Samaj Kalyan Samity,10587,9434801092 ,,"Dharmapur, Deulpota, Haldia, East Medinipur, West Bengal 721603",88.05447,22.18411
DHARTI SOCIAL WELFARE FOUNDATION,12063,8788343616 ,,"Shriprasad Apartment, Jay nagar, Aurangabad, Maharashtra 431001",75.3292,19.86375
Digital Green Trust,6353,"41881037 , 41881037 ",Susan Thomas ,"Ambadeep Building, KG Marg, Connaught Place, New Delhi 110001",77.22334,28.62684
Dignity Foundation,272,"61381100 , 61381111 ",Rahul Ursekar ,"Byculla Service Industries Premises Sussex Road, Mumbai, Maharashtra 400027",72.83479,18.97823
Dilasa Janvikas Pratishthan,3209,"2363741 , 2320444 ",Ms. Vaishalee Khadilkar ,"Sudarshan Park, Vedant Nagar, Midc Regional Office, Aurangabad, Maharashtra 431005",75.31568,19.86044
Dilasa Sanstha,12105,9420305714 ,Komal Dhas ,"Istari Nagar, Belora road, Ghatanji, Yavatmal, Maharashtra 445301",78.31888,20.07239
Discover A New Dawn (D.A.N.D),8617,8697105299 ,Debasree Bhattacharya ,"Nepal Bhattacharya Street, Kolkata, West Bengal 700026",88.34629,22.519
"Disha (Developing Intervention for Social Human
Action), Amravati",11641,9766332169 ,Jyoti Khandpasole ,"Teacher's Colony, Amravati, Maharashtra 444606",77.73742,20.85265
DIVINE EYE FOUNDATION,9824,9121095399 ,Viswanath ,"Kadiam Road, Vemagiri Rajahmundry, East Godavari, Andhra Pradesh 533125",81.80025,16.93037
Divya Deepa Charitable Trust,4826,2979901 ,,"Kenchalagudu, Manandavadi Road, Dhanagalli, Jayapura Hobli, Mysuru, Karnataka 570008",76.55344,12.20398
Divya Jyoti Jagrati Sansthan,5414,"9810904888 , 9818283444 ",Deepa Bharti ,"Pushpanjali Enclave, Pitam Pura Extension, Parvan Road,New Delhi 110034",77.13079,28.696
Diya India Foundation,8709,"47041898 , 47041898 ",,"Ansal Majestic Tower, G Block, Vikas Puri, New Delhi 110018",77.07589,28.64015
DNYANJYOTI GRAMIN VIKAS MANDAL,10541,9421642403 ,,"Dnyanjyoti, Satakar Complex Nutan Vasahat Jalna, Ambad Road, Maharashtra 431203",75.87795,19.85096
Doctors for India Social Welfare Foundation,11075,8693837772 ,,"Mangesh Apartment, Sector 16, New Panvel, Navi Mumbai, Raigad, Maharashtra 410206",73.12644,18.99085
