NGO_name,CCReg,Contact_no,Contact,Address,longitude,latitude
Association for Rural Community Development,191,"232451 , 9443286782 ",T Sivamurthi ,"Krishnagiri Road,Rayakottai,Krishnagiri,Tamil Nadu 635116",77.84253,12.71176
Association for Social and Humanize Action(ASHA),1385,"9492381609 , 8179339047 ",Venkatesh ,"Yerrampeta,Chinturu,East Godavari,Andhra Pradesh 507126",81.43898,17.75805
Association for Sustainable Community Development,323,"27567115 , 27567115 ",S. Latha ,"West Pillayar Koil Street, Karunguzhi Post, Madurantakam Taluk, Madurantakam, Kancheepuram, Tamil Nadu 603303",79.90949,12.53524
ATSWA TRUST,13113,"42136966 , 9884474866 ",I.Richard Vijaya Kumar ,"Bajanai Koil Street,Redhills,Chennai,Tiruvallur,Tamil Nadu 600052",80.20186,13.18758
Aulia Adhayatmik Anusandhan Kendra Aulia Darbar,6638,9801067668 ,,"Pauni Hasanpur,Pauni Vaishali,Bihar 844123",85.19633,25.90826
Autism Society West Bengal,4958,"8274081576 , 9830139173 ",Ranjana Chakraborty ,"Krishakpally Mukundupur, RN Tagore Institute of Cardiac Sciences, Kolkata, West Bengal 700099",88.40236,22.49271
AVTAR Human Capital Trust,11387,9600018650 ,,"Udyog Gruhaa, Raja Nagar, East Coast Road, Neelangarai, Chennai,Tamil Nadu 600041",80.25255,12.93788
Avvai village welfare society,12383,"43652249 , 9150150400 ",,"Sattaiyapper Melaveethi,Nagapattinam, Tamil Nadu 611001",79.83318,10.78663
AWARENESS,11447,9094400022 ,,"Sridevi Nilayam, Chanrda Colony,Carolina Road,Coonoor, Tamil Nadu 643102",76.77546,11.33303
AYANG TRUST,12670,8638990636 ,Nikita Chatterjee ,"Court Road, Shantipur, Majuli, Assam 785104",94.25326,26.97842
AYATHI TRUST,5783,"8553033006 , 9945067947 ",Anima Nair ,"5th Cross, HRBR Layout, Kalyan Nagar,Bengaluru, Karnataka 560043",77.63301,13.01689
